DSH[K],DSC[K],P_cond,P_eva,Q_cond,Q_eva,W_comp,COP_H,COP_R,mtot,mdot,DSH,DSC
3.272727273,4.909090909,2777922.434,1380530.01,10302.68013,9274.379113,1129.360377,9.122579773,8.212063483,0.03708763,0.03708763,3.272727273,4.909090909
3.272727273,5,2778727.257,1380347.467,10307.85284,9279.058266,1129.928579,9.122570247,8.212075028,0.037082489,0.037082489,3.272727273,5
3.272727273,5.090909091,2779532.33,1380165.169,10313.01963,9283.731605,1130.496574,9.122557172,8.21208292,0.037077355,0.037077355,3.272727273,5.090909091
3.272727273,5.181818182,2780470.992,1379987.613,10318.14646,9288.283819,1131.143789,9.121869877,8.211408581,0.037072355,0.037072355,3.272727273,5.181818182
3,4.727272727,2777191.141,1380759.683,10296.27853,9273.134562,1128.751329,9.121830703,8.215391935,0.037173549,0.037173549,3,4.727272727
3.272727273,5.272727273,2781327.737,1379807.519,10323.28858,9292.901541,1131.741819,9.121593284,8.211149737,0.037067283,0.037067283,3.272727273,5.272727273
3,4.636363636,2776435.18,1380944.991,10291.06534,9268.385658,1128.211349,9.121575797,8.215114716,0.037178783,0.037178783,3,4.636363636
3,4.909090909,2778863.885,1380395.262,10306.64493,9282.47505,1129.926107,9.121521187,8.215116892,0.037163254,0.037163254,3,4.909090909
3,5,2779669.066,1380212.347,10311.82744,9287.164033,1130.49436,9.121520464,8.215135221,0.037158088,0.037158088,3,5
3,4.818181818,2778058.984,1380578.424,10301.45646,9277.7802,1129.357664,9.121518174,8.215094737,0.037168428,0.037168428,3,4.818181818
3,5.090909091,2780474.491,1380029.676,10317.004,9291.847203,1131.062403,9.121516171,8.215149916,0.037152928,0.037152928,3,5.090909091
2.909090909,4.727272727,2777505.838,1380714.805,10297.59934,9275.834508,1128.940224,9.121474389,8.216408904,0.037198907,0.037198907,2.909090909,4.727272727
3.272727273,5.363636364,2782184.898,1379627.668,10328.42492,9297.513504,1132.339724,9.121312895,8.210886989,0.037062219,0.037062219,3.272727273,5.363636364
2.909090909,4.636363636,2776749.733,1380900.239,10292.38282,9271.082257,1128.400207,9.121216702,8.216129524,0.03720415,0.03720415,2.909090909,4.636363636
2.909090909,5,2779984.177,1380167.096,10313.15805,9289.873801,1130.683334,9.121172784,8.216158778,0.03718342,0.03718342,2.909090909,5
2.909090909,5.090909091,2780789.722,1379984.302,10318.3379,9294.560237,1131.251393,9.12117144,8.21617573,0.037178251,0.037178251,2.909090909,5.090909091
2.909090909,4.909090909,2779178.881,1380350.135,10307.97228,9285.181541,1130.115067,9.121170564,8.216138172,0.037188595,0.037188595,2.909090909,4.909090909
2.909090909,4.818181818,2778373.857,1380533.423,10302.7805,9280.483368,1129.546604,9.121164605,8.216113736,0.037193778,0.037193778,2.909090909,4.818181818
2.818181818,4.727272727,2777821.124,1380669.82,10298.92302,9278.538393,1129.129309,9.121119201,8.21742764,0.037224332,0.037224332,2.818181818,4.727272727
2.909090909,4.545454545,2775993.757,1381085.921,10287.16019,9266.324112,1127.859926,9.120955496,8.215846576,0.037209401,0.037209401,2.909090909,4.545454545
2.818181818,4.636363636,2777064.882,1380855.379,10293.70319,9273.782858,1128.58926,9.120858719,8.217146119,0.037229585,0.037229585,2.818181818,4.636363636
3,5.181818182,2781413.443,1379851.757,10322.14035,9296.409031,1131.709587,9.120838481,8.214482882,0.037147902,0.037147902,3,5.181818182
2.818181818,5.090909091,2781105.545,1379938.82,10319.67469,9297.277263,1131.440574,9.120827844,8.217203342,0.037203642,0.037203642,2.818181818,5.090909091
2.818181818,5,2780299.882,1380121.739,10314.49156,9292.587531,1130.872499,9.120826241,8.217184111,0.037208819,0.037208819,2.818181818,5
2.818181818,4.909090909,2779494.464,1380304.904,10309.30249,9287.891954,1130.304214,9.120821073,8.217161222,0.037214003,0.037214003,2.818181818,4.909090909
2.818181818,4.818181818,2778689.322,1380488.316,10304.10743,9283.190484,1129.735735,9.120812162,8.217134501,0.037219195,0.037219195,2.818181818,4.818181818
3.181818182,4.181818182,2772070.324,1381964.582,10262.30345,9239.168692,1125.15395,9.120799382,8.211470697,0.037154481,0.037154481,3.181818182,4.181818182
2.727272727,4.727272727,2778137.006,1380624.73,10300.2497,9281.246238,1129.318701,9.120764312,8.218447311,0.037249825,0.037249825,2.727272727,4.727272727
2.909090909,4.363636364,2774428.539,1381456.211,10276.71071,9256.836803,1126.746535,9.120694309,8.215544944,0.037219873,0.037219873,2.909090909,4.363636364
2.909090909,4.454545455,2775237.931,1381271.86,10281.93139,9261.559896,1127.31939,9.120690624,8.215559827,0.037214659,0.037214659,2.909090909,4.454545455
2.818181818,4.545454545,2776308.759,1381041.19,10288.47721,9269.021331,1128.048939,9.120594727,8.216860995,0.037234844,0.037234844,2.818181818,4.545454545
3,5.272727273,2782270.467,1379671.293,10327.29214,9301.036528,1132.307604,9.120571212,8.214231267,0.037142805,0.037142805,3,5.272727273
2.727272727,4.636363636,2777380.621,1380810.415,10295.02653,9276.48736,1128.778613,9.120501053,8.218163645,0.037255086,0.037255086,2.727272727,4.636363636
2.909090909,5.181818182,2781728.774,1379806.259,10323.47743,9299.125319,1131.898569,9.120496936,8.215511153,0.037173217,0.037173217,2.909090909,5.181818182
2.727272727,5.090909091,2781421.967,1379893.23,10321.01452,9299.998286,1131.630073,9.120484477,8.218231828,0.0372291,0.0372291,2.727272727,5.090909091
2.727272727,5,2780616.185,1380076.274,10315.8281,9295.305245,1131.06198,9.120479945,8.218210329,0.037234286,0.037234286,2.727272727,5
2.727272727,4.909090909,2779810.647,1380259.564,10310.63573,9290.606356,1130.493675,9.120471844,8.218185173,0.037239479,0.037239479,2.727272727,4.909090909
3.272727273,5.454545455,2783154.458,1379451.82,10333.52718,9302.023256,1133.004142,9.12046726,8.210052298,0.037057267,0.037057267,3.272727273,5.454545455
2.727272727,4.818181818,2779005.384,1380443.103,10305.43737,9285.901568,1129.925176,9.120459996,8.21815618,0.037244679,0.037244679,2.727272727,4.818181818
2.636363636,4.727272727,2778453.482,1380579.532,10301.57914,9283.958061,1129.508144,9.120411564,8.219469782,0.037275386,0.037275386,2.636363636,4.727272727
2.818181818,4.363636364,2774743.161,1381411.729,10278.02109,9259.527452,1126.935425,9.120328343,8.216555492,0.037245333,0.037245333,2.818181818,4.363636364
2.818181818,4.454545455,2775552.79,1381227.254,10283.24506,9264.253789,1127.508367,9.120327051,8.216572097,0.037240111,0.037240111,2.818181818,4.454545455
3,5.363636364,2783127.903,1379491.072,10332.43812,9305.658251,1132.905494,9.120300132,8.21397575,0.037137715,0.037137715,3,5.363636364
3.181818182,4.090909091,2771361.448,1382152.742,10257.04744,9234.349783,1124.639963,9.120294293,8.210938689,0.037159787,0.037159787,3.181818182,4.090909091
2.727272727,4.545454545,2776624.355,1380996.352,10289.7972,9271.722494,1128.238254,9.12023428,8.217876379,0.037260355,0.037260355,2.727272727,4.545454545
2.909090909,5.272727273,2782585.89,1379625.672,10328.63245,9303.756086,1132.496582,9.120232785,8.21526196,0.037168111,0.037168111,2.909090909,5.272727273
2.909090909,4.272727273,2773719.119,1381644.237,10271.45724,9252.020069,1126.233012,9.120188389,8.215014099,0.03722519,0.03722519,2.909090909,4.272727273
2.818181818,5.181818182,2782044.699,1379760.654,10324.81742,9301.845584,1132.087743,9.120156532,8.216541205,0.037198599,0.037198599,2.818181818,5.181818182
2.636363636,4.636363636,2777696.953,1380765.345,10296.35261,9279.195826,1128.96802,9.120145502,8.219183944,0.037280656,0.037280656,2.636363636,4.636363636
2.636363636,5.090909091,2781738.986,1379847.532,10322.35713,9302.723322,1131.819613,9.120143359,8.219263224,0.037254626,0.037254626,2.636363636,5.090909091
2.636363636,5,2780933.084,1380030.702,10317.16742,9298.026964,1131.251504,9.120135869,8.219239427,0.03725982,0.03725982,2.636363636,5
2.636363636,4.909090909,2780127.426,1380214.118,10311.97174,9293.324752,1130.683183,9.120124807,8.219211973,0.037265022,0.037265022,2.636363636,4.909090909
2.636363636,4.818181818,2779322.042,1380397.783,10306.77007,9288.616636,1130.114667,9.120109994,8.219180681,0.037270231,0.037270231,2.636363636,4.818181818
2.545454545,4.727272727,2778770.558,1380534.227,10302.91149,9286.673887,1129.697781,9.12005995,8.220494047,0.037301015,0.037301015,2.545454545,4.727272727
3.181818182,4,2770600.112,1382339.359,10251.79915,9229.570878,1124.094275,9.120052814,8.210673328,0.037165049,0.037165049,3.181818182,4
2.909090909,5.363636364,2783443.419,1379445.327,10333.78167,9308.381078,1133.094466,9.11996482,8.215008863,0.037163013,0.037163013,2.909090909,5.363636364
2.727272727,4.454545455,2775868.243,1381182.544,10284.5617,9266.951606,1127.697642,9.119963821,8.217585332,0.037265631,0.037265631,2.727272727,4.454545455
2.727272727,4.363636364,2775058.375,1381367.141,10279.33443,9262.222025,1127.124609,9.119962735,8.217567031,0.037270862,0.037270862,2.727272727,4.363636364
3.272727273,5.545454545,2784065.94,1379274.238,10338.63865,9306.577885,1133.633595,9.119912023,8.20951137,0.037052266,0.037052266,3.272727273,5.545454545
2.818181818,5.272727273,2782901.909,1379579.943,10329.97568,9306.479632,1132.68575,9.119895505,8.21629444,0.037193485,0.037193485,2.818181818,5.272727273
2.636363636,4.545454545,2776940.545,1380951.409,10291.11994,9274.427617,1128.427626,9.119875923,8.218894506,0.037285934,0.037285934,2.636363636,4.545454545
2.818181818,4.272727273,2774033.579,1381599.882,10272.76424,9254.707357,1126.421848,9.11981977,8.2160226,0.03725066,0.03725066,2.818181818,4.272727273
2.727272727,5.181818182,2782361.225,1379714.942,10326.16046,9304.569847,1132.277239,9.119816335,8.217572101,0.037224049,0.037224049,2.727272727,5.181818182
2.545454545,5.090909091,2782056.607,1379801.726,10323.70268,9305.452387,1132.009347,9.119803394,8.220296424,0.03728022,0.03728022,2.545454545,5.090909091
2.545454545,5,2781250.586,1379985.021,10318.50967,9300.752709,1131.441222,9.119792937,8.220270331,0.037285423,0.037285423,2.545454545,5
2.545454545,4.636363636,2778013.884,1380720.165,10297.6816,9281.90832,1129.157622,9.119791068,8.220206054,0.037306294,0.037306294,2.545454545,4.636363636
2.545454545,4.909090909,2780444.806,1380168.563,10313.31068,9296.047167,1130.872884,9.119778908,8.220240574,0.037290634,0.037290634,2.545454545,4.909090909
2.545454545,4.818181818,2779639.301,1380352.354,10308.10568,9291.335716,1130.304352,9.119761124,8.220206976,0.037295852,0.037295852,2.545454545,4.818181818
2.454545455,4.727272727,2779088.236,1380488.814,10304.24676,9289.393738,1129.887612,9.119709479,8.221520126,0.037326714,0.037326714,2.454545455,4.727272727
2.909090909,4.181818182,2773009.713,1381832.52,10266.19744,9247.197232,1125.719166,9.119678994,8.214479692,0.037230515,0.037230515,2.909090909,4.181818182
2.818181818,5.363636364,2783759.531,1379399.474,10335.12814,9311.1079,1133.283629,9.119630661,8.216043767,0.037188377,0.037188377,2.818181818,5.363636364
