DSH_target,charge_target,P_cond [MPa],P_eva [MPa],Q_cond [kW],Q_eva [kW],W_comp [kW],COP_H,COP_R,mtot [kg],mdot [kg/s],DSH [K],DSC [K]
2.894736842,0.478947368,2.900626723,1.199244026,9.529840115,8.025169004,1.617923552,5.890167123,4.960165759,0.032127503,0.032127503,2.894736842,6.601288099
2.421052632,0.478947368,2.902411062,1.199025559,9.534392448,8.033553068,1.619010756,5.889023537,4.962013401,0.032235647,0.032235647,2.421052632,6.588159196
6.210526316,0.478947368,2.887391593,1.198163167,9.48334763,7.952854547,1.610383397,5.888875685,4.938485185,0.031338693,0.031338693,6.210526316,6.701739102
5.736842105,0.478947368,2.889198028,1.198233831,9.489335261,7.962527299,1.611449306,5.888696109,4.94122109,0.031445034,0.031445034,5.736842105,6.688386323
5.263157895,0.478947368,2.891017001,1.198302299,9.495344321,7.97223114,1.612518004,5.888519877,4.943964109,0.031552597,0.031552597,5.263157895,6.674685693
4.789473684,0.478947368,2.892848756,1.198368525,9.50137489,7.981966778,1.61358938,5.888347436,4.946714992,0.031661416,0.031661416,4.789473684,6.660629415
3.842105263,0.478947368,2.896532293,1.198475567,9.513788787,8.001836133,1.615732241,5.88822117,4.952451854,0.031882457,0.031882457,3.842105263,6.637738437
4.315789474,0.478947368,2.894693561,1.198432488,9.507426732,7.991734521,1.614663321,5.888179045,4.949474244,0.031771527,0.031771527,4.315789474,6.646205229
3.368421053,0.478947368,2.898417181,1.198534759,9.519895038,8.011671985,1.616819863,5.888036913,4.955203834,0.031995254,0.031995254,3.368421053,6.622792971
1.947368421,0.478947368,2.904210057,1.198805555,9.538970208,8.041976209,1.620099281,5.887892379,4.963878637,0.032345234,0.032345234,1.947368421,6.574644922
1.473684211,0.478947368,2.906024036,1.198584011,9.543573084,8.050438802,1.621188925,5.886774165,4.965762272,0.032456312,0.032456312,1.473684211,6.560731514
1,0.478947368,2.90785329,1.198360948,9.548200479,8.058940837,1.622279445,5.885669395,4.967665011,0.032568927,0.032568927,1,6.54640347
6.684210526,0.478947368,2.884954001,1.196699664,9.469232044,7.935451968,1.609308834,5.884036578,4.930968998,0.031196452,0.031196452,6.684210526,6.727193011
7.157894737,0.478947368,2.883119835,1.196277773,9.461336865,7.923914038,1.608319819,5.882745926,4.926827328,0.031083411,0.031083411,7.157894737,6.744572192
5.736842105,0.431578947,2.861033248,1.205403346,9.353943536,7.846580332,1.59006694,5.882735689,4.934748428,0.031638023,0.031638023,5.736842105,3.761469014
5.263157895,0.431578947,2.862840843,1.205528396,9.359048709,7.855375336,1.591127546,5.882022928,4.936986576,0.031747987,0.031747987,5.263157895,3.737723371
7.631578947,0.478947368,2.881176884,1.195851186,9.453354466,7.912379414,1.607253448,5.881682492,4.922919545,0.030971511,0.030971511,7.631578947,6.759691945
4.789473684,0.431578947,2.864661739,1.205651958,9.364163982,7.864189923,1.59219131,5.881305799,4.939224247,0.031859255,0.031859255,4.789473684,3.71356956
4.315789474,0.431578947,2.866384941,1.205774932,9.369198358,7.873009618,1.593181888,5.880808984,4.941689131,0.03197189,0.03197189,4.315789474,3.687103398
8.105263158,0.478947368,2.879244901,1.195419408,9.445375139,7.90085702,1.60619093,5.880605452,4.919002389,0.030860711,0.030860711,8.105263158,6.774471004
3.842105263,0.431578947,2.868217689,1.205895613,9.374320236,7.881861871,1.594241045,5.880114719,4.943958691,0.032085884,0.032085884,3.842105263,3.66184277
6.210526316,0.431578947,2.858713597,1.204129041,9.342675075,7.831927701,1.58902312,5.879508583,4.928768877,0.03149856,0.03149856,6.210526316,3.800177698
3.368421053,0.431578947,2.870064169,1.206014828,9.379450298,7.890733314,1.595302766,5.879417059,4.946229319,0.032201299,0.032201299,3.368421053,3.636131908
6.684210526,0.431578947,2.856800998,1.203678073,9.335262256,7.820914592,1.587985067,5.878683907,4.925055503,0.031382615,0.031382615,6.684210526,3.818402047
7.157894737,0.431578947,2.854885635,1.203194428,9.328293518,7.810363076,1.586950333,5.878125687,4.921617843,0.031267121,0.031267121,7.157894737,3.84585862
7.631578947,0.431578947,2.852981481,1.202706271,9.321316845,7.799812763,1.58591956,5.877547058,4.918164173,0.0311528,0.0311528,7.631578947,3.872927447
8.578947368,0.478947368,2.87674624,1.193730415,9.430033191,7.882331283,1.605123399,5.874958396,4.910732275,0.030718162,0.030718162,8.578947368,6.799488637
8.105263158,0.431578947,2.850650224,1.201240431,9.309069516,7.784248603,1.584909358,5.873565874,4.911478732,0.031013988,0.031013988,8.105263158,3.912264923
9.052631579,0.478947368,2.874635188,1.192851104,9.419484453,7.868378588,1.604066695,5.872252372,4.905268973,0.030598199,0.030598199,9.052631579,6.817185392
8.578947368,0.431578947,2.848571552,1.200303999,9.299699411,7.771433352,1.583895236,5.871410686,4.906532438,0.030890509,0.030890509,8.578947368,3.944269907
9.526315789,0.478947368,2.872531536,1.191959757,9.4088947,7.854395094,1.603014203,5.869501767,4.899766376,0.030479167,0.030479167,9.526315789,6.834531377
2.894736842,0.431578947,2.872246161,1.206826797,9.388300026,7.903152744,1.599533502,5.869398807,4.940911044,0.032337397,0.032337397,2.894736842,3.600327438
9.052631579,0.431578947,2.846500639,1.199356199,9.29027903,7.758577671,1.582885587,5.869204385,4.90154041,0.030768031,0.030768031,9.052631579,3.975919836
2.894736842,0.526315789,2.933620278,1.19436011,9.630863572,8.104062867,1.641366835,5.867587529,4.937386752,0.03199241,0.03199241,2.894736842,8.809266542
9.526315789,0.431578947,2.844437355,1.198397077,9.280809072,7.745682165,1.58188048,5.866947084,4.896502777,0.030646528,0.030646528,9.526315789,4.007221305
2.421052632,0.526315789,2.935440922,1.194100394,9.636093774,8.113124,1.642464974,5.866848867,4.939602443,0.032098758,0.032098758,2.421052632,8.805171425
